title,description,place,url
A.D.E.R.E. - Asociación de Entes Reguladores Eléctricos,A.D.E.R.E. - Asociación de Entes Reguladores Eléctricos, argentina,http://www.adere.org.ar/adere
Africa Open Data,"The Open Africa Platform initiative aims to be largest repository of Data on the African continent - a Library of Congress of Data for African for use by citizens, media, activists, governments and civil society. It is part of the Ujuzi Initiative which is created and funded by the Africa Media Initiative (AMI), the World Bank Institute (WBI) and Google.", Africa,http://africaopendata.org/
Alagoas em Dados e Informações,"Alagoas em Dados e Informações provides data and information about Alagoas State in Brazil like socioeconomic statistics, maps, geographic information (vectors, group points), satellite images, and a lot of documents about economy and society in Alagoas as publications, development plans and another kind of researches."," Alagoas, Brazil",http://dados.al.gov.br/
Alberta Open Government Portal,," Alberta, Canada",https://open.alberta.ca/
Amsterdam Open Data.nl,CKAN catalogue (combined with Liferay Front-end) for Open Data in the City of Amsterdam.," Amsterdam, The Netherlands",http://www.amsterdamopendata.nl/
Annuario statistico del Comune di Firenze,"L’Annuario in questa nuova veste va ad affiancarsi alla pubblicazione del Bollettino mensile di statistica che propone oltre a focus demografici diversi ogni mese, il punto sull’andamento dei prezzi al consumo e sull’andamento meteorologico, oltre alla pubblicazione dei report completi delle numerose ricerche e indagini che l’ufficio continua a produrre. 

http://annuario.comune.fi.it/about", Italy,http://annuario.comune.fi.it/
AQUACROSS Information Platform,"The AQUACROSS Information Platform seeks to advance the application of ecosystem-based management for aquatic ecosystems in an effort to support the timely achievement of the EU 2020 Biodiversity Strategy and other international conservation targets.

This platform aims to provide open access to a wide range of resources related to aquatic (freshwater, marine and coastal) ecosystem and biodiversity management at the European level. The primary focus is on data used in the various project Case Studies, resulting maps, model outputs and tools.", ,http://dataportal.aquacross.eu/
Aragón Open Data,Aragón Open Data provides data held by the Spanish region of Aragón. It is published by the Aragón government and went live in February 2013.," Aragón, Spain",http://opendata.aragon.es/
Arenys de Munt Govern Obert,This is the Open Data site of Arenys de Munt city Council. It went live in June 2015, Arenys de Munt,http://go.arenysdemunt.cat/ca/dataset
Ayuntamiento de Santander,"datos.santander.es is the open data repository of the City of Santander. Santander is a Local Government, located in Cantabria Province of Spain. With around 175.000 citizens, this city is located in the North of the Country.

With almost 60 datasets, and more then 900 resources, Santander Catalog is actually giving service to entrepreneurs, startups, researchers, students, governments, and so on... The catalogo is growing constantly, and its main feature is the real time data focus. Visit the portal to learn more.
", Santander,http://datos.santander.es/
Barrow Borough Council's Data Portal,Barrow Borough Council's Data Portal has been setup to enable the release of as much data as possible in an open and consistent manner., England,https://data.barrowbc.gov.uk/
BC Data Catalogue,"The BC Data Catalogue, operated by the Government of British Columbia, Canada, provides references to thousands of authoritative dataset and API resources available to the pubic, businesses and other governments."," British Columbia, Canada",http://catalogue.data.gov.bc.ca/dataset
Berlin Open Data,Berlin Open Data provides data held by the State of Berlin. It was built in collaboration with the German chapter of the Open Knowledge Foundation.," Berlin, Germany",http://daten.berlin.de/
Bermuda.io,"Bermuda.io was launched in September 2013 by two local developers, to promote open data and encourage citizen engagement and participation. They launched the website with key public documents and statistics covering 20 years, and plan to publish a wide range of public data in both human and machine readable formats.", Bermuda,http://bermuda.io/
Buenos Aires Data,"Buenos Aires Data was launched by the Buenos Aires city government in March 2012, running CKAN 1.5. It was upgraded to version 1.7 in July 2012."," Buenos Aires, Argentina",http://data.buenosaires.gob.ar/
Catálogo de Datos Abiertos,Uruguay’s national open data portal https://catalogodatos.gub.uy/ was launched on 5 December 2012. National and local government agencies can add datsets to the catalogue., Uruguay,https://catalogodatos.gub.uy/
Catálogo Nacional de Datos Abiertos Gubernamentales del Paraguay,"http://datos.gov.py/about

El Gobierno Paraguayo está liberando datos públicos para ayudar a la gente a entender cómo funciona su gobierno y cómo se realiza la gestión de los recursos de Gobierno. Datos.gov.py es un portal de acceso a estos datos abiertos gubernamentales. A través del portal Datos.gov.py , se posibilita a cualquier ciudadano, instituciones, empresas y funcionarios, tener acceso simple, libre y dinámico, a conjunto de datos abiertos gubernamentales. El objetivo del portal es fomentar la transparencia ayudando a la ciudadanía a enterarse y entender la gestión del estado en el uso de la cosa pública.
", Paraguay,http://datos.gov.py/
cities open data hub,It is used for appsforgreece in Thessaloniki. , Greece,http://cities.opendatahub.gr/
City of Ottawa Open Data Catalog,"The City of Ottawa relaunched their open data portal in April 2013, moving it to CKAN in order to take advantage of the wide range of features and enhancements over the existing portal, including improved searching and faceting, the API enabling programmers to build data apps, and notifications and RSS feeds."," Ottawa, Canada",http://data.ottawa.ca/
City of Surrey Open Data Catalogue,Open data portal for the City of Surrey in British Columbia.," Surrey, British Columbia, Canada",http://data.surrey.ca/
City of Toronto Open Data Portal,"The City of Toronto launched its first Open Data Portal in the fall of 2009 to meet growing demand for open data. Since then, the open data movement has gained increasing momentum within Toronto’s digital and civic spaces. As a result, open data currently serves as a politically charged topic of discussion within civic decision-making as policymakers and the civic community navigate open data policies and address socio-political and technical barriers.

The evolution of technology and data literacy mean, however, that in addition to increasing demand for data, expectations for a broader set of functionality have changed as well. This includes being able to visualize data, being able to download data in non-proprietary formats, and meeting accessibility compliance requirements. These factors have necessitated a redesign effort, which is the Open Data Portal Sandbox you are currently on.

When we started designing the new portal, we spoke to the individuals best informed to direct how it should function. Our open data community is a passionate one; it includes developers, policymakers, academics and civic advocates. These communities mobilize around a common goal: that some data should be freely available for everyone to use and re-publish as they wish. When data is freely available, it can innovated upon by anyone to draw insights and use evidence to inform the design of civic services. The open data portal aims to do just this.", Toronto,https://portal0.cf.opendata.inter.sandbox-toronto.ca/
City of Zagreb Open Data Portal,"City of Zagreb deployed the Open Data Portal (http://data.zagreb.hr/) for two important reasons:
•	enabling the end users to access and use data so that they can gain some specific benefits, including cost savings from data request and all other associated costs that incure when requesting the data
•	enabling the software partners ecosystem that delivers additional 3rd party applications that extend the already existing portfolio, like MojZagreb (http://moj.zagreb.hr ) or mobile applications from other startups, like AXILIS (Zagreb Travel, http://axilis.com/work/zagreb-prijevoz)
", Croatia,http://data.zagreb.hr/
CivicData,CivicData is a freely available open data portal that can be leveraged by both state and local governments and civic hackers alike. It can be used to house data that powers civic applications and new services focused on improving citizen engagement and making communities work better., United States,http://www.civicdata.io/
CMAP Datahub,"The Chicago Metropolitan Agency for Planning (CMAP) Data Hub is the source for data and information relevant to comprehensive planning in the seven-county metropolitan Chicago region. As the official regional planning organization for northeastern Illinois, CMAP prepares data, analyses, and evaluations on land use, transportation and environmental topics. These activities are critical to providing objective assessments of current and future regional conditions.

We are committed to making our datasets and publications available to a broad audience and have developed this Data Hub using the CKAN open-source data portal platform.", Chicago Metro Area,https://datahub.cmap.illinois.gov/
CNMC Open Data,"In Spain, the Markets and Competition Commission (CNMC) decided to release data openly to build transparency and participation, create economic value, and improve the efficiency of the organisation itself. The site went live in beta in October 2013. ", Spain,http://opendata.cmt.es/
Codeando México,"Codeando México is a civic startup which aims to build the largest community-driven open data platform in Mexico, bringing together a range of key players and data sources.", Mexico,http://datos.codeandomexico.org/
Copenhagen Data,Copenhagen Data features open data from Copenhagen Municipality including for instance infrastructural and traffic data. The purpose of the portal is to open up data from the many different data systems of the city.," Copenhagen, Denmark",http://data.kk.dk/
Dados Abertos - UFRN,"The Open Data Portal of the Federal University of Rio Grande do Norte (UFRN) is a tool whose main objective is to make available to the entire community data and public information of the Institution, making it possible to access information (regulated by the Law on Access to Public Information - Law no. 12,527 / 2011) and the monitoring of the functioning of the University."," Rio Grande do Norte, Brasil",http://dados.ufrn.br/
Dados Abertos IMA,Open Data portal at http://dados.ima.sp.gov.br aims at disclosing transparency information to enhance accountability in the context of Information Technology company sponsored by Campinas Municipality., Brazil,http://dados.ima.sp.gov.br/
Dados Recife,"Open data portal for the municipality of Recife, Brazil."," Recife, Brazil",http://dados.recife.pe.gov.br/
dados.gov.br,"The Brazilian national portal at http://dados.gov.br/ was built using a highly participative process, with planning and development meetings open to all interested citizens. It used CKAN in line with government policy to use free and open-source software where possible.", Brazil,http://dados.gov.br/
DadosRS,Portal for the brazilian state Rio Grande do Sul. Using CKAN 2.2.," Rio Grande do Sul, Brazil",http://dados.rs.gov.br/
Danube Reference Data and Service Infrastructure,"The Joint Research Centre (JRC) of the European Commission is coordinating an initiative aiming to provide scientific support to the European Union Strategy for the Danube Region (EUSDR) focusing on four vertical priorities: environment protection, irrigation and agricultural development, navigability and energy production. As a transversal priority, the initiative also aims to support the development of Smart Specialisation strategies for innovation in the Danube Region.

The initiative was launched in close cooperation with key scientific partners of the Danube Region. Through an integrated approach relying on different flagship clusters, the JRC and its scientific partners will gather essential scientific expertise and data to help decision-makers and other stakeholders of the Danube Region to identify the policy measures and actions needed for the implementation of the EU Strategy of the Danube Region.", EU,http://drdsi.jrc.ec.europa.eu/
Dariofan Org,"Dariofan Org nació con la intención de ser una Base de Datos Pública , de interés general para todas las personas de Nacionalidad Argentina, que vivan dentro o fuera del país . La Página Web ya se encuentra activa en la modalidad "" demo.ckan "" . ", ,https://demo.ckan.org/es/organization/dariofan-org
DART,"The Detection of Archaeological Residues using Remote-sensing Techniques (DART) project was initiated in 2010 in order to investigate the ability of various sensors to detect archaeological features in ‘difficult’ circumstances. It developed an automated ingest sequence that adds rich metadata to each resource, and hosts over 1tb of data under open licences."," Leeds, United Kingdom",http://dartportal.leeds.ac.uk/
dat.ar,dat.ar is an unofficial repository of Argentina's public data., Argentina,http://datar.noip.me/
DATA CITY Sabae,"(third-party submission)
DATA CITY sabae is the open data catalog site of Sabae City in Fukui prefecture in Japan. It has no datasets now, so It looks like still under development.
"," Sabae, Japan",http://ckan.sabae.jrrk.org/
Data for Japan,"Data for Japan which is formerly known as CKAN Japanese  is a community project which aims to aggregate open data in Japan. The site is hosted by Linked Open Data Initiative, Code for Japan and Open Knowledge Foundation Japan. ", Japan,http://dataforjapan.org/
Data for Suwon,Republic of Korea Suwon is a public data portal.," Suwon,Korea",http://data.suwon.go.kr/
Data Refuge,DataRefuge helps to build refuge for federal data and supports climate and environmental research and advocacy. We are committed to fact-based arguments. DataRefuge preserves the facts we need at a time of ongoing climate change., United States,https://www.datarefuge.org/
data.bris Research Data Repository,"The data.bris Research Data Repository is maintained by the University of Bristol Research Data Service. The Service is a Library-led collaboration with IT Services and Research and Enterprise Development.

The data.bris Research Data Repository is an online digital repository of multi-disciplinary research datasets produced at the University of Bristol. Data published through the repository are all openly available under a Non-Commercial Government License for public sector information, and each deposit is assigned a unique Digital Object Identifier (DOI)."," Bristol, United Kingdom",http://data.bris.ac.uk/data
data.brisbane.qld.gov.au,"Data.brisbane.qld.gov.au supports re-usable, accessible, understandable and shareable, Brisbane City Council data."," Brisbane, Australia",http://data.brisbane.qld.gov.au/
Data.gc.ca,"Canada's new portal, data.gc.ca, is a key part of Canada’s Action Plan on Open Government to enhance transparency and accountability. data.gc.ca provides one-stop access to Government of Canada data and information.", Canada,http://data.gc.ca/
data.go.jp,"(third-party submission)
This site was set up as a trial version of the Data Catalog Site. Its purposes are to provide a sphere for the use of data owned by different governmental ministries and agencies as open data and to present the image of open data to both data providers and data users.", Japan,http://www.data.go.jp/
Data.gov,"The US government announced in January 2013 that they were moving to CKAN for their open data catalogue, combining datasets previously published in different places. The relaunch went live in May 2013.", USA,http://data.gov/
data.gov.au,"Data.gov.au provides an easy way to find, access and reuse public datasets from the Australian Government.", Australia,http://data.gov.au/
data.gov.ie,Ireland's national open data portal was launched in July 2014. It is operated by the Department of Public Expenditure and Reform., Ireland,http://data.gov.ie/
data.gov.ro,"In 2013, the Romanian government established the Department of Online Services and Design, responsible among other things for Open Data. The Department created data.gov.ro to empower citizens to identify, download and use public datasets created or held by government.", Romania,http://data.gov.ro/
data.gov.sk,"The Slovak open data portal was created under the Initiative for Open Governance, which aims to improve governance through increased transparency, efficiency and accountability. It was launched in 2013.", Slovakia,http://data.gov.sk/
Data.gov.uk,"The UK’s http://data.gov.uk/ was one of the first government data portals on its launch in 2009, using Drupal to build the site and CKAN as a back-end. It was relaunched in June 2012 with data search pages now presented directly by CKAN.", United Kingdom,http://data.gov.uk/
data.gv.at,"Austria’s national data portal Offene Daten Österreich contains both government data and data harvested from a number of city portals, including the CKAN portals at Linz and Graz.", Austria,http://data.gv.at/
data.NSW,data.NSW brings together a list of NSW Government datasets available in one searchable website. The NSW Government aims to make data more accessible to the public and to industry to stimulate innovative approaches to service delivery.," New South Wales, Australia",http://data.nsw.gov.au/
Data.overheid.nl,The government of the Netherlands publishes its data at http://data.overheid.nl/. The site is built in Drupal and uses CKAN for the underlying catalogue., Netherlands,http://data.overheid.nl/
Data.Rio,Portal for the brazilian state Rio de Janeiro. Using CKAN 2.2.," Rio de Janeiro, RJ, Brazil",http://data.rio.rj.gov.br/
data.salzburgerland.com,"This is a Data Hub for Salzburgerland. Here we began publishing Touristic datasets related to the region of Salzburg as Linked Open Data for public consumption by data experts, developers and general audience. 
", Europe,http://data.salzburgerland.com/
Data.vic,"The Data.Vic portal provides open data infrastructure to agencies within the whole of Victorian Government. It allows for a three tiered publishing process, developed by Link Digital."," Victoria, Australia",http://data.vic.gov.au/data
data.wa.gov.au,"Western Australian Government Open Data
The purpose of the Western Australian Whole of Government Open Data Policy is to improve management and use of the public sector's data assets in order to deliver value and benefits for all Western Australians. 

This includes greater release of appropriate and high-value data to the public in ways that are easily discoverable and usable.", Western Australia,http://data.wa.gov.au/
datacatalogs.org,"At datacatalogs.org, a group of Open Data experts from around the world maintain a comprehensive list of open data catalogues (including, of course, the ones listed on this page).", Worldwide,http://datacatalogs.org/
DataGM,"DataGM was created by public sector organisations in Greater Manchester, including ten local councils. It aims to release and bring together in one place as much of the data they hold as possible. DataGM is coordinated by Trafford Council in partnership with FutureEverything, which seeks out and shares new artforms and technologies in creative ways."," Greater Manchester, UK",http://datagm.org.uk/
dataJuventude,O #dataJuventude tem como objetivo facilitar o acesso dos agentes públicos à informações relativas a juventude. Essas informações são provenientes de bases de dados de indicadores sobre diversas áreas da juventude., Brazil,http://magonia.ibict.br/ckan
datamx.io,"Datamx.io is the Open Data Civic Platform in Mexico, it aims to create an ecosystem where government, non-profits, journalists and civic hackers can get together to create civic innovation. ", Mexico,http://datamx.io/
Dataplatform,, Netherlands,https://www.dataplatform.nl/
Dataplatform.nl,"Dataplatform is a catalogue with records of all kinds of open data from Dutch government institutions, profit and non-profit organizations. The catalogus is built in Drupal and uses CKAN for the underlying catalogue. Dataplatform is an iniative of Civity.", Netherlands,http://ckan.dataplatform.nl/
DataPOA,"Portal for the city of Porto Alegre, capital of the Rio Grande do Sul state in Brazil. Using CKAN 2.1"," Porto Alegre, RS, Brazil",http://datapoa.com.br/
DATASUD,Datasud if the regional OpenData portal for the french Provence Alpes Cotes d'Azur Region. It hosts Open datasets for many cities of the region and other regional organisations. ," Marseile, France",http://trouver.datasud.fr/
dati.gov.it,"dati.gov.it is the official Open Data portal of Italy. It relaunched using CKAN in October 2013, partly to gain the advantages of CKAN's harvester to ingest data from the many local government data portals in Italy.", Italy,http://dati.gov.it/
Datos Abiertos de la Ciudad de Mendoza,Datos Abiertos de la Ciudad de Mendoza, Argentina,http://datos.ciudaddemendoza.gob.ar/
Datos Abiertos del Ayuntamiento de Alcobendas,Datos Abiertos del Ayuntamiento de Alcobendas," Alcobendas, Spain",http://datos.alcobendas.org/
Datos abiertos Málaga,Málaga is committed to the global initiative that aims to make available to all citizens and companies the information held by public authorities.," Malaga, Spain",http://datosabiertos.malaga.eu/
datos.ciudaddemendoza.gob.ar,datos.ciudaddemendoza.gov.ar, Mendoza,http://datos.ciudaddemendoza.gov.ar/
datos.gob.mx,Open data website by the Federal Public Administration of the United Mexican States., Mexico,http://datos.gob.mx/
datosabiertos.ec,"Ecuador's current only open data portal, though not government affiliated. This is a civil society iniciative, created and coordinated by Fundapi (http://www.fundapi.org).", Ecuador,http://datosabiertos.ec/
Denver Open Data Catalog,"When the City and County of Denver, in Colorado, USA, wanted an open data portal, they were able to call on the assistance of the active data community running the state-wide OpenColorado (see below). Denver Open Data Catalog opened in July 2012 with 80 GIS geographical datasets."," Denver, Colorado, USA",http://data.denvergov.org/
Données Québec,"Le gouvernement du Québec ainsi que plusieurs municipalités ont joint leurs efforts afin de créer le nouveau portail de données ouvertes Données Québec qui vise à :
- donner un meilleur accès aux données ouvertes d’intérêt public
- accorder aux citoyens la possibilité d’interagir avec les organisations diffusant les données
- simplifier l’utilisation et le croisement des données
- faciliter la participation citoyenne dans l’élaboration de solutions innovantes
- accroître la transparence des administrations publiques", Québec,https://www.donneesquebec.ca/fr
ECAI Data Portal,"The Electronic Cultural Atlas Initiative, based at University of California, Berkeley, is a global consortium of people who share the vision of creating a distributed virtual library of cultural information with a time and place interface. The ECAI Data Portal preserves the digital resource that ECAI have collected around the world.", ,http://ecaidata.org/
ECDS,"Environment Climate Data Sweden, ECDS, is a Swedish service facilitating the search for, publication of, and long-term accessibility of data for environment and climate related research. ECDS will be the central access point to decentralized data resources.", Sweden,http://www.ecds.se/
"Edo State, Nigeria",Edo State Open Data is Nigeria’s first open data portal. The site was developed with support from the World Bank and a dedicated team in Benin City. A geospatial team is actively mapping infrastructure and resources for presentation on the site.," Edo, Nigeria",http://data.edostate.gov.ng/
Energy Data eXchange,"The Energy Data eXchange (EDX) was developed and is maintained by the Department of Energy (DOE) National Energy Technology Laboratory (NETL) to support internal and external coordination and collaboration of fossil energy research. EDX not only provides access to internal and external datasets, but also provides the tools to interact with that data. The CKAN platform was chosen to foster collaboration with other CKAN sites (i.e Data.gov).", United States,https://edx.netl.doe.gov/
Energy Research Data Portal for South Africa,"This data portal has been established to promote the sharing of energy and climate-change related information in South Africa. Specifically but not exclusively, it establishes an access point for quantitative data and models for the energy research community and public.", South Africa,http://energydata.uct.ac.za/
Estonian Open Data portal,, Estonia,http://opendata.riik.ee/
Etsin,"Etsin is a research data finder. In the service you can search and find data from various fields of research. The metadata contained in Etsin makes it easy for anyone to discover the datasets. Etsin makes it possible to enter metadata on datasets into the service, making them discoverable and reusable for others. The actual research data may be stored anywhere and the owner controls the access to the data. Etsin also gathers metadata about existing research data from various external sources, such as the Finnish Social Science Data Archive.", Finland,http://etsin.avointiede.fi/
EU Open Data,"The European Union has its own portal for releasing data held by the various bodies of the Union, including Eurostat, the European Statistics Agency.", Europe,http://open-data.europa.eu/
European Data Portal,, Europe,http://www.europeandataportal.eu/data
Food Security,FSL, Pakistan,http://www.fsl.com/
Forschungsdaten-Repositorium der LUH,A general research data repository for members of the Leibniz University of Hannover (German<)," Hannover, Germany",https://data.uni-hannover.de/
Fortaleza Dados Abertos,"Fortaleza Dados Abertos offers public data and information related to the city of Fortaleza, Ceará. The data is published in open data standart that allows use in digital apps developed by and for anyone. Also, this portal can be used as a tool for society to think and promote innovation and creativity to improve public services and the life in the city."," Fortaleza - Ceará, Brazil.",http://dados.fortaleza.ce.gov.br/
Fortaleza Open Data,"Fortaleza Dados Abertos is an open portal developed by CITINOVA foundation of  City Hall, that has as main objective to provide public data and information related to the city of Fortaleza, Ceará. The data is published in open data standart that allows use  by and for anyone. Also, this portal can be used as a tool for society to think and promote innovation and creativity to improve public services and the life in the city."," Fortaleza - Ceará, Brazil.",http://dados.fortaleza.ce.gov.br/catalogo/dataset
Geospatial Information Clearinghouse,"A CKAN site providing ISO 19115 Japan Metadata Profile (JMP) 2.0 metadata of more than 67,000 datasets.", Japan,http://ckan.gsi.go.jp/
Glasgow Open Data,"Glasgow Open Data is part of Open Glasgow, a project funded with a Future Cities grant from the UK government. The data will be used to build an integrated view of Glasgow through maps, widgets and apps. Other public, private, and voluntary organisations are invited to use the platform to open and share their data."," Glasgow, Scotland, UK",http://data.glasgow.gov.uk/
GovData,"govdata.de is a federal data portal for Germany, which went live in February 2013. It includes data published by the federal government as well as data harvested from regional and city portals using CKAN’s harvesting capabilities. It aims to increase the amount of data released under a fully open licence by 2014.", Germany,http://govdata.de/
Governo Aberto SP,"Governo Aberto SP é uma iniciativa do Governo do Estado de São Paulo, de disponibilização, através da internet, de documentos, informações e dados governamentais de domínio público para a livre utilização pela sociedade, garantindo à mesma, acesso aos dados primários, de forma que possam ser reutilizados produzindo novas informações e aplicações digitais para a sociedade."," São Paulo, SP, Brasil",http://catalogo.governoaberto.sp.gov.br/dataset
Grand Rapids Open Data,"The Grand Rapids Open Data catalog is a collaborative project between the City of Grand Rapids, MI and Friendly Code, a Code for America Brigade.
"," Grand Rapids, MI",http://data.grcity.us/
Graz Open Data,"Graz Open Data is part of the Open Commons Region Graz, a project to make the region’s digital public goods freely accessible. It offers statistical, mapping, election, transport and other data."," Graz, Austria",http://data.graz.gv.at/
Greek Open Data Hub,"The Greek Open Data Hub is a project run by the Open Knowledge Foundation Greece, including a CKAN data repository and other tools.", Greece,http://opendatahub.gr/
Helsinki Region Infoshare,"The Helsinki Region Infoshare aims to make regional information quickly and easily accessible to all. It is powered by CKAN and WordPress, and has over 900 datasets. The site has Finnish and English versions. The data is mainly statistical, giving a comprehensive and diverse outlook on a variety of urban phenomena, such as living conditions, economics and well-being, employment and transport."," Helsinki, Finland",http://www.hri.fi/
Houston Data Portal,"The Houston Data Portal is a project of Code for Houston, a citizen's initiative of programmers in Houston, Texas, aiming to improve the city."," Houston, USA",http://data.ohouston.org/
Humanitarian Data Exchange,The Humanitarian Data Exchange (HDX) is an open platform for sharing humanitarian data. HDX is working to provide fast access to meaningful data and insightful analytics to the humanitarian community worldwide., ,https://hdx.rwlabs.org/
Il Portale Opendata della Provincia di Roma,"The Province of Rome is the biggest Italian province, containing Rome as well as 120 other towns. It is one of the partners in the Commons for Europe project aiming to bring digital innovation to cities in Europe. As part of the project, the Province has been involved in building widely-available public wifi, crowdsourcing ideas for public policy, and in the release of Open Data via Open Data | Provincia di Roma, a new CKAN data portal."," Province of Rome, Italy",http://www.opendata.provincia.roma.it/
Illinois Open Data,"Illinois Open Data Portal is managed by Illinois.gov and lets you find data across state, find facts about the state, lets you create maps and graphs, and lets you freely download the data for your own analysis. Many of these datasets are updated daily, and some even more often.  We are running on CKAN 2.6.3 and looking to add more streamlined functionality to the platform."," Illinois, USA",http://data.illinois.gov/
Indonesia Data Portal,"Indonesia Data Portal (data.go.id) is official open data portal from Government of Indonesia that provide datasets from ministries, agencies and local governments.", Indonesia,http://data.go.id/
Instituto de Pesquisas Jardim Botânico do Rio de Janwiro,, Brazil,http://ckan.jbrj.gov.br/
JRC Data Catalogue,"Contains the scientific datasets of the Joint Research Centre, European Commission.", Europe,http://data.jrc.ec.europa.eu/
Justicia Abierta,"Open Data Portal for the Ministry of Justice and Human Rights, Repúbilca Argentina.", Argentina,http://datos.jus.gov.ar/
Laboratorio de Datos,"Laboratorio de Datos is an experimental repository of datasets and web services built from data provided by Mexico City government entities for Laboratorio para la Ciudad.

Laboratorio para la Ciudad is Mexico City's experimental office for civic innovation and urban creativity, the first city government department of its kind in Latin America.", Mexico City,http://datos.labcd.mx/
